Brand,Name,MRP,Discount_Price,Rating,Total_Rating,Total_Reviews
Apple,"APPLE iPhone 14 (Blue, 128 GB)",69900,58999,4.6,247971,9518
Apple,"APPLE iPhone 14 (Starlight, 128 GB)",69900,59999,4.6,247971,9518
Apple,"APPLE iPhone 14 (Midnight, 128 GB)",69900,59999,4.6,247971,9518
Apple,"APPLE iPhone 14 Plus (Midnight, 128 GB)",79900,67999,4.6,55035,3208
Apple,"APPLE iPhone 14 Plus (Purple, 128 GB)",79900,67999,4.6,55035,3208
Apple,"APPLE iPhone 14 (Purple, 128 GB)",69900,59999,4.6,247971,9518
Apple,"APPLE iPhone 14 Plus (Starlight, 128 GB)",79900,67999,4.6,55035,3208
Apple,"APPLE iPhone 14 Plus (Blue, 128 GB)",79900,68999,4.6,55035,3208
Apple,"APPLE iPhone 14 (Midnight, 256 GB)",79900,69999,4.6,247971,9518
Apple,"APPLE iPhone 14 (Blue, 256 GB)",79900,68999,4.6,247971,9518
Apple,"APPLE iPhone 14 (Starlight, 256 GB)",79900,69999,4.6,247971,9518
Apple,"APPLE iPhone 14 (Purple, 256 GB)",79900,69999,4.6,247971,9518
Apple,"APPLE iPhone 15 (Blue, 128 GB)",79900,76990,4.6,1965,169
Apple,"APPLE iPhone 15 (Black, 128 GB)",79900,76990,4.6,1965,169
Apple,"APPLE iPhone 12 (Blue, 64 GB)",49900,42999,4.6,205562,13649
Apple,"APPLE iPhone 12 (Blue, 128 GB)",54900,48999,4.6,205562,13649
Apple,"APPLE iPhone 12 (White, 64 GB)",49900,42999,4.6,205562,13649
Apple,"APPLE iPhone 15 (Green, 128 GB)",79900,76990,4.6,1965,169
Apple,"APPLE iPhone 12 (Black, 64 GB)",49900,42999,4.6,205562,13649
Apple,"APPLE iPhone 15 (Yellow, 128 GB)",79900,76990,4.6,1965,169
Apple,"APPLE iPhone 15 (Blue, 256 GB)",89900,86990,4.6,1965,169
Apple,"APPLE iPhone 15 (Black, 256 GB)",89900,86990,4.6,1965,169
Apple,"APPLE iPhone 12 (Green, 64 GB)",49900,42999,4.6,205562,13649
Apple,"APPLE iPhone 15 Plus (Pink, 256 GB)",99900,96990,4.7,905,106
